round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,7.57,0.017561474609375,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
1,10.65,0.13592381591796876,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
2,11.58,3.863941845703125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
3,10.21,2.984563330078125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
4,12.97,5.740271044921875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
5,15.35,5.737332373046875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
6,41.69,3.058315283203125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
7,25.3,8.143064306640625,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
8,42.16,4.335784130859375,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
9,45.88,5.38784296875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
10,65.08,2.711308923339844,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
11,59.49,4.044910107421875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
12,65.81,3.3005309326171877,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
13,69.46,2.8199051025390625,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
14,61.62,4.912296362304687,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
15,63.9,4.793116870117188,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
16,70.04,4.05483671875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
17,56.94,9.81869501953125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
18,65.68,6.82382978515625,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
19,61.22,8.780187744140624,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
20,34.66,24.07672578125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
21,32.78,27.8420607421875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
22,24.7,43.01816953125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
23,30.62,31.383213671875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
24,31.55,38.7141828125,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
25,40.74,25.1640982421875,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
26,51.66,18.6454162109375,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
27,51.24,19.90336708984375,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
28,46.42,28.4472259765625,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
29,40.81,39.69985,0,0,0.0,Vulnerable_sigma0.5,42,0.2,0.5
